"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Park Hyatt Chennai,4.5,Excellent,525,5,Guindy ,Chennai Airport,7.8 km ,"9,000",
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7,,Uthandi,,,769,40
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271,4,Navallur,,,"5,719","1,244"
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821,4,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026"
Fairfield by Marriott Chennai OMR,4.2,Very Good,983,4,Sholinganallur,,,"4,850",
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603,5,Guindy ,Chennai Airport,7.8 km ,"12,500",
The Ambassador Pallava,4,Very Good,1926,4,Egmore,,,"8,079","2,432"
Le Royal Meridien,3.9,Very Good,1968,5,Mount road ,Chennai Airport,5.6 km ,"9,000",
"Taj Wellington Mews, Chennai",4.7,Excellent,327,5,Tharamani,,,"10,560",
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855,5,Egatoor ,city centre,31.6 km ,"8,138",
The Mount Manor,3.4,Good,874,3,Chennai Airport ,Chennai Airport,3.8 km ,"2,350",634
Green Park Chennai,4.2,Very Good,1503,5,Vadapalani,,,"6,696","1,368"
Mango Hill central Chennai,3.2,Good,196,3,T Nagar,,,"3,314",677
Venture Park,3.5,Very Good,1192,3,Thoraipakkam,,,"1,315",339
Grand Chennai by GRT Hotels,4.5,Excellent,1535,5,T Nagar,,,"8,550","1,710"
"Season 4 Residences, Nungambakkam",3.7,Very Good,101,,Near US Consulate,,,"2,591",620
Ginger Chennai OMR,4.5,Excellent,161,3,Navallur,,,"2,479",
Hotel Pandian,3.5,Very Good,2322,2,Egmore,,,"1,595",342
Hilton Chennai,4.3,Excellent,811,5,Guindy ,Chennai Airport,8.2 km ,"11,000",
FORTEL,3.5,Very Good,502,,Egmore,,,"3,118",703
Royal Park,3.1,Good,10,,Near Marina Beach,,,"1,351",407
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442,4,Mahindra World City ,city centre,45.7 km ,"5,533","1,130"
Crossway Parklane Airport Hotel,3.2,Good,517,3,Meenambakkam ,Chennai Airport,2.9 km ,"2,544",574
Hotel Ashok Residency,3.7,Very Good,559,3,Porur,,,"4,290",933
Hotel Greens Gate (Near Central station),3.6,Very Good,1869,,Poongavanapuram,,,"1,887",498
HOTEL RANJITH,4,Very Good,159,3,Near US Consulate,,,"5,208","1,064"
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510,5,Singaperumal Koil ,city centre,43.6 km ,"7,200",
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740,4,Egatoor ,city centre,31.6 km ,"3,824",459
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284,3,Nungambakkam,,,"2,307",471
Harrisons,4,Very Good,604,3,Nungambakkam,,,"3,906",798
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900,4,Muttukadu ,city centre,31.8 km ,"25,110","7,812"
PARK PLAZA CHENNAI OMR,4,Very Good,198,5,Thoraipakkam,,,"4,200",
Feathers A Radha Hotel Chennai,4.3,Excellent,447,5,Manapakkam ,Chennai Airport,9.7 km ,"8,999",
V7 HOTEL,3.2,Good,1120,3,Porur,,,"3,667",896
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400,3,Adyar,,,"2,240",796
Hostel Gandhi,4.2,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107
Grand Cascade,3.6,Very Good,1402,3,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502
Days Hotel Chennai OMR,4.3,Excellent,392,4,Kelambakkam ,city centre,35.3 km ,"2,767",565
PP Residency,4,Very Good,421,,Chennai ,city centre,35.0 km ,"2,768",713
Highnest | Rooms & Caretaker,3.5,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633
Grand Elegant,3.9,Very Good,1064,,Poongavanapuram,,,"2,046",418
Accord Chrome,4.5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425"
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546
La Woods hotel (1Km from us consulate chennai),4,Very Good,323,,Mount road,,,"3,360",403
E Hotel,4.1,Very Good,590,4,Royapettah,,,"6,749",810
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210,3,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484
Pharos Hotels,4.3,Excellent,73,3,Nungambakkam,,,"4,650","1,100"
Al Noor Palace,4,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,"2,093",428
JS Five two By twinstar hotel,4,Very Good,68,,Raja Annamalai Puram,,,"3,794",976
HOTEL HALEZ,4.3,Excellent,490,,Sholinganallur,,,"3,800",456
Essentia Premier Hotel,4.1,Very Good,63,4,Thoraipakkam,,,"3,989",479
ILARA Hotel & Spa,4,Very Good,785,3,Navallur,,,"2,650",576
The Centrepoint OMR,3.8,Very Good,886,3,Sholinganallur,,,"3,322",723
"KLASE HOTELS, GUINDY",3.3,Good,260,3,Mount road ,Chennai Airport,8.4 km ,"2,914",768
Just Guest House,4,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811
GRAND OLIVER,3.6,Very Good,490,,Poongavanapuram,,,"1,243",302
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179,,T Nagar,,,"2,349",547
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70,5,Oragadam ,city centre,43.0 km ,"5,900",
ZAITH RESIDENCY,3.4,Good,243,,Thousand Lights,,,"2,355",635
Mount Kailash Suites,4,Very Good,422,3,Mount road ,Chennai Airport,9.2 km ,"2,516",615
The Mount City near US Consulate,3.6,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,"1,748",460
